user_nicename	display_name first_name	last_name	nickname	user_url	description	user_avatar	oa_social_login_user_picture	avatar	avatar_url
d1-layer-redaction-mesorah		Masoretic layer	Masoretic layer 'D1'		The book of Deuteronomy (sefer Devarim) is considered the composite of two layers of redaction, ‘D1’ and ‘D2.’ Together, these layers (commonly referred to as the ‘Deuteronomist’) are thought to have formed by a complex process that reached probably from the 7th century BCE to the early 5th. D1 is primarily responsible for incorporating the law code of Deuteronomy into the Pentateuch and adding a layer of redaction concerned with theodicy in the books of Joshua-Kings.				
dp-layer-redaction-mesorah		Masoretic Layer	Masoretic layer 'Dp'		"Biblical scholar Dr. Alexander Rofé posits a Deuteronomic strata which ""reflects the strength and demands of the Jerusalem priesthood"" following upon the reforms of King Yoshiyahu in the mid- to late 7th century BCE. The third Deuteronomist (and the latest) is the most easily identified, since they are the Deuteronomist most interested in Priestly themes such as purity, proper sacrifice, and the priests. This third Deuteronomist seems to have confined his additions to the book of Deuteronomy (almost exclusively confining himself to hortatory and laws)."				
d2-layer-redaction-mesorah		Masoretic layer 'D2'	d2-layer-redaction-mesorah	https://en.wikipedia.org/wiki/Deuteronomist	The book of Deuteronomy (sefer Devarim) is considered the composite of two layers of redaction, 'D1' and 'D2.' Together, these layers (commonly referred to as the 'Deuteronomist') are thought to have formed by a complex process that reached probably from the 7th century BCE to the early 5th. In general, D2 shares a particularly non-Judean perspective following the split between the north (Ephraim/Israel) and the south (Judah) after the reign of Solomon, a perspective that was ignored by D1 (and successive authors). D2 thus adds a parallel summary of the Northern Israelean monarchs, and brings in the prophetic narratives of Elijah and Elisha which take place in Northern Israel during the time of the Northern Israelean monarchy. In Deuteronomy, D2 adds hortatory (sermons) to D1’s narrative introduction at the beginning of Deuteronomy (the focus of which is the observation of the commandments and divine justice), and otherwise supplements D1’s work.  D2 also adds some verses to the book of Exodus (sefer Shemot) in Parashat Bo.				
masorti-foundation		Masorti Movement in Israel	the Masorti Movement in Israel	http://www.masorti.org.il	The Masorti Movement in Israel creates opportunities for all Jews to live Jewish lives in Israel unhindered, and on their own terms. It is a religious movement based on values of inclusion combined with traditional practice and Halakha (Jewish Law). Masorti represents a “third” way. Not secular Judaism. Not ultra-Orthodoxy. But a Jewish life that integrates secular beliefs. Halakhah with inclusion and egalitarianism. Tradition that recognizes the realities of today’s world. The Masorti Movement is committed to a pluralistic, egalitarian, and democratic vision of Zionism. Masorti engages tens of thousands of Israelis each year, young and old, native born as well as olim from around the globe.				
moritz-mayer		Mayer	moritz.mayer		"Rabbi Moritz Mayer (originally Moses Maier, later Maurice Mayer; 1821-1867) born in Dürckheim-on-the-Haardt, Germany, fled to the United States and to New York as a political refugee of the <a href=""https://secure.wikimedia.org/wikipedia/en/wiki/1848_revolution#German_states"">1848 revolution</a>. In 1859, after seven years as the rabbi of <a href=""/profile/kehilat-kadosh-beth-elohim/"">Ḳ.Ḳ. Beth Elohim</a> in Charleston, South Carolina, he returned in poor health to New York where he contributed frequently to the Jewish press, and translated various German works into English: Rabbi Samuel Adler's catechism, Abraham Geiger's lectures on Jewish history, and Ludwig Philipson's pamphlet, <em>Haben die Juden Jesum Gekreuzigt?</em> (the Crucifixion from the Jewish Point of View), et al. In 1866, a number of his English translations of Fanny Neuda's teḥinot in German (from her <em>Stunden Der Andacht</em>, 1855/1858) were published in a volume he titled <em>Hours of Devotion</em>. The work also included a number of his own prayers as well as those of Marcus Heinrich Bresslau. The following year, Moritz Mayer passed away. He was 45 years old. 

(We are indebted to Anton Hieke for his research on Mayer, ""<a href=""https://www.academia.edu/41728357/Anton_Hieke_Rabbi_Maurice_Mayer_German_Revolutionary_Charleston_Reformer_and_Anti-Abolitionist"">Rabbi Maurice Mayer: German Revolutionary, Charleston Reformer, and Anti-Abolitionist</a>"" published in <em>Southern Jewish Life</em>, 17 (2014), pp. 45-89.)

For Mayer's translations of prayers by other authors, please <a href=""/profile/moritz-mayer-translation/"">visit here</a>."				
wolf-mayer		Mayer	wolf.mayer	https://de.wikisource.org/wiki/BLKÖ:Mayer,_auch_Maier,_Wolf	"Zev Wolf ben Ḥayyim Mayer (or Maier, 1778-1850) was a Jewish educator, maskil, poet and author. The following was adapted from his obituary; ""The talents that were already evident in his boyhood were the reason why Wolf Mayer was destined for a scientific career. At the age of thirteen he was one of the most distinguished in Talmud study. In his youth he came to Prague, where Rabbi <a href=""https://de.wikisource.org/wiki/BLKÖ:Landau,_Ezechiel"">Ezekiel Landau</a> was the last chief rabbi in Bohemia and enjoyed his instruction. Under Landau's guidance, Mayer made excellent progress, but since he belonged to the Progress Party and made no secret of his liberal way of thinking, he was repeatedly attacked by the Zealot Party. Subsequently, in order to obtain a marriage license, he applied for the position of an extraordinary teacher of the Hebrew language at the Prague secondary school, which he received. For forty years he held this teaching post at the secondary school at which <a href=""/profile/peretz-beer"">Pereẓ (Peter) Beer</a> and <a href=""https://de.wikisource.org/wiki/BLKÖ:Gunz,_Simon"">Simon Gunz</a> were his colleagues. Mayer was also active as a writer and as a Hebrew poet he had an important reputation. He also published numerous poems and various articles in Hebrew journals. Mayer was a well-known and popular personality in Jewish circles in Prague at the time. Several years before his death he suffered a stroke, was deprived of the use of all his senses, and  became completely paralyzed. However, he retained his mental vigor to the last moment. A new, serious misfortune befell him when, three years before his death, his only daughter, the nurse and guardian of his ailing body, died, and he was left in dreadful misery."""				
isaac-gantwerk-mayer-2		Mayer	Isaac Gantwerk Mayer	https://isaacwritesaboutmusic.com	"From a family of musicians, Isaac Gantwerk Mayer believes that creative art is one of the most powerful ways to get in touch with the divine. He composes music and poetry in Hebrew and English. (He also <a href=""/profile/isaac-gantwerk-mayer/"">translates</a> and <a href=""/profile/isaac-gantwerk-mayer-3/"">transcribes</a> Hebrew and Aramaic texts, adding <em>niqqud</em> and <em>t'amim</em> as needed.) Isaac runs a Jewish music transcription service, which will transcribe and set any Jewish music in any language, recorded or written. Contact his service on <a href=""https://www.facebook.com/pg/isaacgmayerjewishtranscription/"">Facebook</a> or via <a href=""https://isaacwritesaboutmusic.com/contact/"">his music blog</a>."				
isaac-gantwerk-mayer-3		Mayer (transcription &amp; naqdanut)	Isaac Gantwerk Mayer (transcription &amp; naqdanut)	http://isaacwritesaboutmusic.com	"From a family of musicians, Isaac Gantwerk Mayer believes that creative art is one of the most powerful ways to get in touch with the divine. He composes music and poetry in Hebrew and English. (He also <a href=""/profile/isaac-gantwerk-mayer/"">translates</a> and <a href=""/profile/isaac-gantwerk-mayer-2/"">authors</a> his own original works.) Isaac runs a Jewish music transcription service, which will transcribe and set any Jewish music in any language, recorded or written. Contact his service on <a href=""https://www.facebook.com/pg/isaacgmayerjewishtranscription/"">Facebook</a> or via <a href=""https://isaacwritesaboutmusic.com/contact/"">his music blog</a>."				
moritz-mayer-translation		Mayer (translation)	Moritz Mayer (translation)		"Rabbi Moritz Mayer (originally Moses Maier, later Maurice Mayer; 1821-1867) born in Dürckheim-on-the-Haardt, Germany, fled to the United States and to New York as a political refugee of the <a href=""https://secure.wikimedia.org/wikipedia/en/wiki/1848_revolution#German_states"">1848 revolution</a>. In 1859, after seven years as the rabbi of <a href=""/profile/kehilat-kadosh-beth-elohim/"">Ḳ.Ḳ. Beth Elohim</a> in Charleston, South Carolina, he returned in poor health to New York where he contributed frequently to the Jewish press, and translated various German works into English: Rabbi Samuel Adler's catechism, Abraham Geiger's lectures on Jewish history, and Ludwig Philipson's pamphlet, <em>Haben die Juden Jesum Gekreuzigt?</em> (the Crucifixion from the Jewish Point of View), et al. In 1866, a number of his English translations of Fanny Neuda's teḥinot in German (from her <em>Stunden Der Andacht</em>, 1855/1858) were published in a volume he titled <em>Hours of Devotion</em>. The work also included a number of his own prayers as well as those of Marcus Heinrich Bresslau. The following year, Moritz Mayer passed away. He was 45 years old.

(We are indebted to Anton Hieke for his research on Mayer, ""<a href=""https://www.academia.edu/41728357/Anton_Hieke_Rabbi_Maurice_Mayer_German_Revolutionary_Charleston_Reformer_and_Anti-Abolitionist"">Rabbi Maurice Mayer: German Revolutionary, Charleston Reformer, and Anti-Abolitionist</a>"" published in <em>Southern Jewish Life</em>, 17 (2014), pp. 45-89.)

For Mayer's original prayers, please <a href=""/profile/moritz-mayer/"">visit here</a>."				
isaac-gantwerk-mayer		Mayer (translation)	Isaac Gantwerk Mayer (translation)	http://isaacwritesaboutmusic.com	"From a family of musicians, Isaac Gantwerk Mayer believes that creative art is one of the most powerful ways to get in touch with the divine. He composes music and poetry in Hebrew and English.  (He also <a href=""/profile/isaac-gantwerk-mayer-2/"">authors</a> his own original works and <a href=""/profile/isaac-gantwerk-mayer-3/"">transcribes</a> Hebrew and Aramaic text, adding niqqud and t'amim as needed.) Isaac runs a Jewish music transcription service, which will transcribe and set any Jewish music in any language, recorded or written. Contact his service on <a href=""https://www.facebook.com/pg/isaacgmayerjewishtranscription/"">Facebook</a> or via <a href=""https://isaacwritesaboutmusic.com/contact/"">his music blog</a>."				
noa-mazor		Mazor	noa.mazor		"Rabbi Noa Mazor (HUC Jer '16)
Educator, inter-religious and peace activist."				
oded-mazor		Mazor	oded.mazor		Rabbi Oded Mazor, born and raised in Israel, received his Bachelors and Masters degrees in Jewish Philosophy in the Hebrew University, Jerusalem, and rabbinic ordination from the Israeli program of HUC-JIR. Oded co-edited the Israeli Reform Three Regalim (Pilgrim Holy Days) prayer book, <em>HaSimcha Sh'Balev</em>, and is part of the editorial committee of <em>Tfilat HaAdam</em>. After nearly a decade as rabbi and educator in the Leo Baeck Education Center, Haifa, and living in the renewed Kibbutz Ḥannaton, Oded and the family are back in Jerusalem, where he serves as the rabbi of Ḳehilat Ḳol HaNeshama.				
dafna-meir		Meir	dafna.meir	https://derechnashim.wordpress.com	"Dafna Meir, z""l, mother of 6, was a nurse who treated patients at the Neurosurgery department at Soroka Hospital in Beersheva, Israel."				
orna-meir		Meir-Stacey (translation)	Orna Meir-Stacey (translation)		Orna Meir-Stacey lives in Cambridge, England.				
lev-meirowitz-nelson		Meirowitz Nelson	lev.meirowitz-nelson	https://www.truah.org/people/rabbi-lev-meirowitz-nelson/	Rabbi Lev Meirowitz Nelson is the Director of Rabbinic Training for T’ruah: the Rabbinic Call for Human Rights. Lev was ordained in 2013 from Hebrew College, where he was a Wexner Graduate Fellow. In 2017, Lev was honored by the Covenant Foundation with a Pomegranate Prize, which recognizes early-career Jewish educators. Before attending rabbinical school, Lev taught fifth grade at the Solomon Schechter School of Manhattan for three years and worked for many summers at URJ Eisner Camp. He holds an AB in Geology from Brown University and spent a post-baccalaureate semester at the Arava Institute for Environmental Studies, where conservation and sustainable development are approached in the context of Arab-Israeli peace efforts.				
andrew-meit		Meit	andrew.meit	https://www.facebook.com/MeitGarretGallery/	"Andrew Meit has studied and researched in various areas: the imagination, Martin Buber, Judaism, prophets and prophecy, and Ephraim Moses Lilien. In 1984, Meit earned a Bachelor of Arts in Religious Studies with minors in Mathematics and Philosophy from Stetson University. As a lifelong creative, he is a type and graphics designer focusing on <a href=""https://www.associationforjewishstudies.org/artists-on-their-art-andrew-meit"">Jewish art</a> and repairing digitally damaged art. 

Meit is legally deaf-blind, and has several learning problems stemming from contracting congenital Rubella. He is active in the Independent Living Movement; been on several CIL boards. Throughout his life Meit has striven to turn his disabilities into well-made art that inspires and celebrates beauty and truth.

Off and on for 40 years, Meit has been involved in interfaith services and study groups. He has informally lectured on Buber. He enjoys writing prayers and creating worship presentations.

Although mainly self-taught in calligraphy, drawing and design, Meit formally studied at the Cleveland Art Institute. With the font editor Fontographer, he recreated the well known font GoodCity Modern (a faithful recreation of the Gutenberg’s bible typeface). Over the decades, he produced a digital recreation of the first page of Genesis from the Gutenberg Bible. He artistically colored many of E.M. Lilien’s line art illustrations, created a font based on Buber's handwriting, and recently, he created a new logo for the Florida Orange City <a href=""https://mosaicuuc.org"">Unitarian Universalist Congregation</a> and improved a logo for Applied Jewish Spirituality group.  

Meit likes to help repair the world through his art; enjoys deep thoughts, playing with puzzles, and learning about Religion. He currently lives in Plantation, Florida."			http://opensiddur.org/wp-content/avatars/andrew-meit.jpg	
eliezer-meler		Meler	Eliezer Meler (translation)	https://data.bnf.fr/11461484/l__miler/	"Eliezer Meler (1889-1967), Yiddish translator, poet and novelist, wrote under the pseudonum L. Miler. In 1940, he published what is to this day the
fullest and most satisfactory translation of Whitman's verse and prose into
Yiddish."				
aaron-melman		Melman	aaron.melman	https://bethshalomnb.org/clergy	"Aaron Melman is head rabbi at Congregation Beth Shalom in Northbrook, IL. Originally from Toronto, he graduated York University with BA in Judaic Studies. He attended the Jewish Theological Seminary where he received his ordination in May 2002.While at JTS, Rabbi Melman taught Hebrew School at Or Zarua, a Conservative synagogue on Manhattan’s Upper East Side, and served as a student chaplain with the New York City Fire Department (FDNY). 
Rabbi Melman is involved in the community through the Northbrook Clergy Association, serves on the Board of Directors of The Norton and Elaine Sarnoff for Jewish Genetics, and is the immediate Past-President of the Chicago Region of Rabbinical Assembly. Rabbi Melman also serves as the only Chaplain to the Northbrook Fire Department."				
shimonides		Menachem	Shimonides	http://almostjewish.wordpress.com/	"Shimon Menachem, a/k/a ""Shimonides"" is a writer and educator living in St. Louis, Missouri."				
rainbowtallitbaby		Mendelsohn	rainbowtallitbaby	http://rainbowtallitbaby.wordpress.com/	"Dr. Aurora Mendelsohn is a biostatistician who lives in Toronto. Her work can be read in the <a href=""www.forward.com/authors/aurora-mendelsohn/"">Forward</a> and at her blog, ""<a href=""http://rainbowtallitbaby.wordpress.com/"">Rainbow Tallit Baby</a>""."				
dan-mendelsohn-aviv		Mendelsohn Aviv	dan.mendelsohn.aviv	http://thenextjew.com	"Dr. Dan Mendelsohn Aviv has been engaged in Jewish learning as an educator, lecturer, professor, published scholar and author for almost twenty years. His book End of the Jews: Radical Breaks, Remakes and What Comes Next came out in 2012. Having spent three years creating an alternative model for informal education, he recently returned to his greatest passion-classroom instruction at <a href=""http://www.bialik.ca/"" target=""_blank"">Bialik Hebrew Day School</a> in Toronto, Canada. He is also an itinerant blogger (at The Next Jew), inchoate podcaster and MacBook zealot.  Most of all, he is proud of his darling Noa and three children."				
abraham-pereira-mendes		Mendes	abraham-pereira.mendes	https://en.wikipedia.org/wiki/Abraham_Pereira_Mendes	"Abraham Pereira Mendes (February 9, 1825 in Kingston, Jamaica – April 18, 1893 in New York City) was an English rabbi and educator. He was the first master of the Beth Limud School of Kingston, but resigned in order to prepare in London, England for the vocation of preacher and rabbi. He studied under Dr. David Meldola, son of Haham Raphael Meldola, as well as under his future father-in-law, the Rev. D. A. de Sola, known as ""the learned Hazzan"" of the Sephardic community, and received his diplomas. He returned to Jamaica and became for a short time assistant to the Rev. Isaac Lopez, minister of the Kingston Sephardic congregation, but was soon called from that position to be the minister of the Montego Bay community. In 1883, he was called to the ministry at the historic Touro Synagogue in Newport, Rhode Island, by the guardian Congregation Shearith Israel of New York and continued as its minister until his death ten years later. He was the first among the Sephardim to publish a volume of sermons in English (1855). He translated the Daily Prayer-Book of the German Jews (Valentine's edition), and finished the translation of the Festival and Holy Day Books left incomplete by the death of Rev. D. A. de Sola. He published, besides, The Law of Moses, Post-Biblical History of the Jews (to fall of Jerusalem), Interlineary Translation of the Prayer-Book (German), and the Haggadah."				
hen-melekh-merhaviyah		Merkhaviyah	Ḥen Melekh Merkhaviyah (translation/Hebrew)	https://he.wikipedia.org/wiki/חן_מלך_מרחביה	Ḥen Melekh Merkhaviyah (1910-2003) was an educator, philosopher , essayist, translator, literary editor, scholar of Jewish philosophy in the Middle Ages and historian of the Revisionist movement and the Betar youth movement. He was awarded the David Yellin Jerusalem Prize.				
joseph-meszler		Meszler	Joseph B. Meszler (translation)	http://www.rabbimeszler.com/	"Rabbi Joseph B. Meszler is the spiritual leader of <a href=""http://www.temple-sinai.com/"">Temple Sinai of Sharon, Massachusetts</a>. He also has a regular <a href=""http://www.huffingtonpost.com/rabbi-joseph-meszler/"">blog on the Huffington Post</a> and is the author of several books and articles. Rabbi Meszler has lectured widely and been heard in many venues, including Canadian Broadcasting Corporation radio. He has also been an instructor at the Kehillah Schechter Academy and previously served at Washington Hebrew Congregation in Washington, DC. He was ordained at Hebrew Union College in Cincinnati in 1999."				
carole-meyers		Meyers	carole.meyers	https://en.wikipedia.org/wiki/Carole_Meyers	Rabbi Carole Meyers (1957-2007) was the first woman in Southern California to lead a congregation full-time. Meyers was ordained in 1983 by Hebrew Union College-Jewish Institute of Religion, and spent three years as assistant rabbi of Congregation Beth Israel in Houston. She became the rabbi of Temple Sinai of Glendale in 1986, when she was 29. She resigned in 2001, and died in 2007 of bone cancer. Posthumously, a book of her sermons was published, titled <em>Leaning on God: Sermons</em> (2018). She first became interested in becoming a rabbi after her father died when she was 13 and her stepfather died when she was 19, and the rituals and community support of the synagogue helped her through her grief.				
sarah-m		Meyers	Sarah M.	http://baperipheriya.wordpress.com/	Sarah M. is a third year medical student in Israel studying how to be a doctor, a friend, and an engaged citizen.				
yosef-hayyim-mibaghdad		miBaghdad	yosef-hayyim.mibaghdad	https://en.wikipedia.org/wiki/Yosef_Hayyim	"Yosef Chaim (1 September 1835 – 30 August 1909) (Iraqi Hebrew: Yoseph Ḥayyim; Hebrew: יוסף חיים מבגדאד) was a leading Iraqi ḥakham (Sephardi Rabbi), authority on halakha (Jewish law), and Master Kabbalist. He is best known as author of the work on Halakha Ben Ish Ḥai (בן איש חי) (""Son of Man (who) Lives""), a collection of the laws of everyday life interspersed with mystical insights and customs, addressed to the masses and arranged by the weekly Torah portion."				
rachel-mikva		Mikva	rachel.mikva	https://en.wikipedia.org/wiki/Rachel_Mikva	Rabbi Rachel Mikva is the Rabbi Herman E. Schaalman Chair &amp; Associate Professor of Jewish Studies, and Senior Faculty Fellow of the InterReligious Institute at Chicago Theological Seminary, Illinois, United States.				
netanel-miles-yepez		Miles-Yépez	netanel.miles-yepez	http://netanelmy.com	"Netanel Miles-Yépez is an artist, religion scholar, and spiritual teacher.

Born into a Mexican-American family, in his late teens, Miles-Yépez discovered his family's hidden Jewish roots and began to explore Judaism and other religions seriously. After studying history of religions and comparative religion at Michigan State University, he moved to Boulder, Colorado to study with the innovative Hasidic master and leader in ecumenical dialogue, Rabbi Zalman Schachter-Shalomi, founder of the Jewish Renewal movement. In addition to Schachter-Shalomi, he also studied with various Sufi masters and teachers of Buddhism, and counts Father Thomas Keating, Trappist monk and founder of the Centering Prayer movement, as an important influence. In 2004, he and Schachter-Shalomi co-founded the Sufi-Hasidic, Inayati-Maimuni Order, fusing the Sufi and Hasidic principles of spirituality and practice espoused by Rabbi Avraham Maimuni in 13th-century Egypt with the teachings of the Ba’al Shem Tov and Hazrat Inayat Khan. Currently, he teaches in the Department of Religious Studies at Naropa University in Boulder, Colorado.

As a writer on religious subjects, he is known for his critically acclaimed commentaries on Hasidic spirituality (written with Rabbi Zalman Schachter-Shalomi), A Heart Afire: Stories and Teachings of the Early Hasidic Masters (2009) and A Hidden Light: Stories and Teachings of Early HaBaD and Bratzlav Hasidism (2011). He is also the editor several ecumenical works, including The Common Heart: An Experience of Interreligious Dialogue (2006) and Meditations for InterSpiritual Practice (2011).

As an artist, Miles-Yépez is mostly known for his vibrant paintings, influenced by traditional religious imagery and his Mexican-American heritage. His work in general represents a lifelong fascination with religious iconography, myth and symbol, image and archetype, cultural impressions and his own ancestry. Most of his work is concerned with the acculturation and use of traditional symbols and iconic forms in a new multi-cultural paradigm."				
joseph-miller		Miller	joseph.miller		Rabbi Joseph Miller (1895-1967) served Shaare Torah of Flatbush from 1922 through 1967 and served as president of the New York Board of Rabbis.				
lous-miller		Miller	Louis Miller (translation)	https://en.wikipedia.org/wiki/Louis_Miller	Louis E. Miller (1866–1927), born Efim Samuilovich Bandes, was a Russian-Jewish political activist who emigrated to the United States of America in 1884. A trade union organizer and newspaper editor, Miller is best remembered as a founding editor of Di Arbeiter Tsaytung (The Workers' Newspaper), the first Yiddish-language weekly published in America, and a co-founder with Abraham Cahan of the Jewish Daily Forward, the country's first and foremost Yiddish-language daily.				
uri-miller		Miller	Rabbi Uri Miller		"Rabbi Uri Miller (1906-1972) was an orthodox Jewish rabbi and leader in the United States. He joined Beth Israel synagogue in New Orleans in 1935, a post he would hold through the early 1940s. He was president of the Hebrew Theological College Alumni from 1936 to 1938, and of its successor the Rabbinical Council of America from 1946 to 1948. He was the rabbi of Beth Jacob in Baltimore from 1945 to 1972. From 1963-1965 he served as president of the <a href=""https://en.wikipedia.org/wiki/Synagogue_Council_of_America"">Synagogue Council of America</a>."				
jessica-minnen		Minnen	jessica.minnen		Rabbi Jessica Minnen is the founding director of Seven Wells and the assistant director of the Jewish Journey Project. She is an alumna of Washington University in St. Louis, the Pardes Institute of Jewish Studies, Paideia: The European Institute for Jewish Studies in Sweden, Baltimore Hebrew University, and the Jewish Theological Seminary. Jessica sits on the Board of Directors of the American Jewish Society for Service and is a visiting rabbi at Beth El in Bethesda, Maryland.			http://opensiddur.org/wp-content/avatars/jessica-minnen.jpg	
yehoshua-heshil-miro		Miro	yehoshua-heshil.miro		"Yehoshua Heshil ben Rabbi Binyamin Miro (fl. first-half 19th c.) was a writer and Jewish educator in Prussia, an early advocate and teacher of Jewish girls. He worked as a professor at a private school, and a teacher at the <a href=""https://de.wikipedia.org/wiki/Königliche_Wilhelms-Schule"">Königliche Wilhelms-Schule</a> (and possibly also the <a href=""https://de.wikipedia.org/wiki/Industrieschule_für_israelitische_Mädchen"">Industrial School for Israelite Girls</a>), in then Prussian Breslau. We know very little else about Miro aside from his publication of a popular anthology of teḥinot for German speaking women first published in 1829. If you know more about Miro, please <a href=""/contact/"">contact us</a>."				
ephraim-mirvis		Mirvis	ephraim.mirvis	https://en.wikipedia.org/wiki/Ephraim_Mirvis	"Ephraim Mirvis (born 1956) is an Orthodox rabbi who serves as the Chief Rabbi of the United Hebrew Congregations of the Commonwealth. Traditionally the post has entailed that he also serves as the head of all British Jews as the Chief Rabbi of the United Kingdom and Commonwealth. He served as the Chief Rabbi of Ireland between 1985 and 1992. (via his <a href=""https://en.wikipedia.org/wiki/Ephraim_Mirvis"">Wikipedia article</a>)"				
mishkan-shalom		Mishkan Shalom	mishkan.shalom	https://mishkan.org	Mishkan Shalom, founded in 1988, is a Reconstructionist synagogue located in the Roxborough-Manayunk neighborhood of Philadelphia, dedicated to repair of the world through prayer, study and acts of caring.				
asher-mizrahi		Mizrahi	asher.mizrahi	https://en.wikipedia.org/wiki/Asher_Mizrahi	Asher Mizrahi (also Acher Mizrahi, אשר מזרחי‎; 1890 – 27 October 1967) was a Jerusalem-born Tunisian tenor singer and musician, who eventually settled in Israel, where he was born under Ottoman rule.				
nina-jane-mizrahi		Mizrahi	nina-jane.mizrahi	https://rabbininajmizrahi.wordpress.com	Rabbi Nina Mizrahi is the director of the Pritzker Center for Jewish Education of the JCC of Chicago. Raised as a free-range child, Rabbi Nina Mizrahi’s deep spiritual center is rooted in the woods of upstate New York. After studying Biology and Environmental Chemistry in college, she worked in a research lab.  Later ordained at HUC-JIR, her approach to Jewish life draws from all expressions of Judaism and is influenced by science, nature and neo-chasidism. Rabbi Nina honors all learning styles and inspires learners to think in new ways.  Identified as a community rabbi, she seeks to bring together believer, atheist and agnostic, humanist, deist and seeker, to discover a shared tradition of ethical and spiritual values.				
yosef-yuzl-mogilnitski		Mogilnitski	yosef-yuzl.mogilnitski	http://yleksikon.blogspot.com/2017/07/yoysef-yuzl-mogilnitski-magilnitski.html	"Yosef ben Yuzl Mogilntski (also Magilntski and Magilntzky, Americanized: Joseph Magil, March 17, 1870-February 10, 1945) was born in Raseyn (Raseiniai), Kovno district, Lithuania.  Until age fourteen he attended religious elementary schools and yeshivas, while stealthily studying modern Hebrew and Russian.  At age sixteen he published essays in <em>Hamelits</em> (The spectator) and <em>Yudishe folksblat</em> (Jewish people’s newspaper).  In 1889 he moved to Mitave (Mitava), Courland.  There he studied German and acquainted himself with German literature.  In 1890 he returned to Raseiniai and became a teacher in the school for the society “Banot Tsiyon” (Daughters of Zion).  In 1892 he made his way to the United States, settled in Philadelphia, and founded there a Hebrew-Yiddish school called “Bene Tsiyon” (Children of Zion).  In 1894 he founded in Philadelphia <em>Yudishes folks blat</em> (Jewish people’s newspaper), a biweekly published by the Mogilnitski Brothers and edited by Yoysef Mogilnitski, which came out for approximately one year.  He also published articles in <em>Der literarishe shtrahl</em> (The literary ray [of light]), “monthly with an English division”—motto: “Literature and Science”—in Philadelphia, first volume (September 1899), last issue (February 1906).  He also wrote (using the pen name “A. Mogil”) for <em>Nyu-yorker yudishe folks-tsaytung</em> (New York Jewish people’s newspaper) (1886-1889) and other publications.  He published textbooks for schools and Talmud-Torahs (in Yiddish with English translation), including: <em>Mogilnitskis linyen skul khumesh, oder oyzer hamore vehatalmid (dem lehers un shilers hehilfe)</em> (Mogilnitski’s linear school Pentateuch, or an aide for the teacher and the student), “an entirely new and easy method of instruction in the entire Pentateuch, without change or abridgement, with great success, with assistance from a new ‘linear system,’ for [secular] schools, religious elementary schools, Talmud-Torahs, and self-study” (Philadelphia, 1899); <em>Mogilnitskis hamekhin lakhumesh</em> (Mogilnitski’s preparation for Pentateuch [study]) (Philadelphia, 1906), 199 pp.; <em>Mogilnitskis linyen megiles ester</em> (Mogilnitski’s linear Scroll of Esther) (Philadelphia); <em>Mogilnitskis hagode shel peysekh</em> (Mogilnitski’s Passover Haggada); <em>Mogilnitskis kovets shire tsien veshire am</em> (Mogilnitski’s collection of poems of Zion and poetry of the people) (Philadelphia, 1906), “fifty-six of the best poems in Hebrew, Yiddish, and English, with notes to sing and play in pocketbook format.”  He also published: <em>Sider lebote-seyfer velam</em> (Prayer book for schools and the people) (Philadelphia, 1904), 176 pp., “complete prayer book for the entire year, all of the prayers all in one place, for every Jewish home, religious elementary schools, and schools, with important remarks and special notes by means of which everyone can know where one finds the two kinds of shva, by Yoysef son of Yude Mogilnitski.”  He died in Philadelphia. (from the short biography by Zaynvl Diamant posted at <a href=""https://yleksikon.blogspot.com/2017/07/yoysef-yuzl-mogilnitski-magilnitski.html"">Yiddish Leksikon</a>. See there for sources.)"				
abraham-moise		Moïse	abraham.moise	https://www.jewishencyclopedia.com/articles/10923-moise	"Abraham Moïse (1799-1869), the brother of <a href=""/profile/penina-moise/"">Penina Moïse</a>, was a lawyer in Charleston, South Carolina born to the prominent family of his parents Abraham Moïse (c. 1736–1809) originally from Strasbourg in Alsace, France, and Sarah from the Jewish community on St. Eustace.. Along with Isaac Harby and <a href=""/profile/david-nunes-carvalho/"">David Nunes Carvalho</a>, he helped in leading the <a href=""/profile/reformed-society-of-israelites/"">Reformed Society of Israelites</a>."				
columbus-moise		Moïse	columbus.moise		Columbus Moïse (1809-1871) born in Charleston, South Carolina, was the son of Aaron Moïse and Sarah Cohen Moïse. He married Fanny Emma Levy, a daughter of D.C. Levy of Philadelphia, Pa. For thirty-five years he was president of the principal bank of New Orleans, Louisiana. He was postmaster of that city, and was chosen by its citizens to receive Gen. Zachary Taylor on his return from the battle of Buena Vista in 1847. He was granted a large tract of land in Florida for services rendered in the Indian War. Columbus Moïse wrote many short poems, one of which was sung at the laying of the cornerstone during the consecration of the new synagogue building for Ḳ.Ḳ. Beth Elohim in Charleston, South Carolina.				
